当天价格,今开：,最高：,52周最高：,成交量：,昨收：,最低：,52周最低：,成交额：,涨停价：,总市值：,每股收益：,市盈率(静)/(动)：,跌停价：,总股本：,每股净资产：,市净率(动)：,振幅：,流通股本：,每股股息：,市销率(动)：
17.61,17.70,17.83,18.29,1.57亿股,17.78,17.46,15.25,27.71亿,19.56,2133.79亿,0.19,20.59/19.35,16.00,121.17亿,12.02,1.47,2.08%,98.15亿,0.50,5.52
17.61,17.70,17.83,18.29,1.57亿股,17.78,17.46,15.25,27.71亿,19.56,2133.79亿,0.19,20.59/19.35,16.00,121.17亿,12.02,1.47,2.08%,98.15亿,0.50,5.52
17.61,17.70,17.83,18.29,1.57亿股,17.78,17.46,15.25,27.71亿,19.56,2133.79亿,0.19,20.59/19.35,16.00,121.17亿,12.02,1.47,2.08%,98.15亿,0.50,5.52
